"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"2017176651","3/17/2017 12:00:00 AM","3/17/2017 12:00:00 AM","3/17/2017 12:00:00 AM","1178 S KALAMATH ST                                ","3140643.00","1678536.00","4","422","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017188103","3/22/2017 12:00:00 AM","3/22/2017 12:00:00 AM","3/22/2017 12:00:00 AM","1865 S ACOMA ST                                   ","3143812.00","1674001.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017202740","3/27/2017 12:00:00 AM","1/1/1900 12:00:00 AM","3/28/2017 12:00:00 AM","1397 S CHEROKEE ST                                ","3143133.00","1677110.00","3","313","2205    ","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","","","",""
"2017204677","3/29/2017 12:00:00 AM","1/1/1900 12:00:00 AM","3/29/2017 12:00:00 AM","310 N ST PAUL ST                                  ","3154517.00","1688064.00","3","311","3560    ","DRUG - MARIJUANA SELL","Drug Offenses","INDUSTRY","","","",""
"2017216733","4/3/2017 12:00:00 AM","1/1/1900 12:00:00 AM","4/3/2017 12:00:00 AM","1500 BLOCK COURT PL                               ","3143530.00","1695451.00","6","611","1313","ASSAULT - SIMPLE","Simple Assault","NON-INDUSTRY","","","",""
"2017227103","4/8/2017 12:00:00 AM","1/1/1900 12:00:00 AM","4/8/2017 12:00:00 AM","1160 N HOLLY ST                                   ","3162558.00","1693039.00","2","222","1208    ","ROBBERY - RESIDENCE","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2017228470","4/8/2017 12:00:00 AM","4/8/2017 12:00:00 AM","4/8/2017 12:00:00 AM","1285 S TENNYSON ST                                ","3128304.00","1677795.00","4","421","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2017232754","4/7/2017 12:00:00 AM","1/1/1900 12:00:00 AM","4/10/2017 12:00:00 AM","2145 W EVANS AVE                                  ","3137232.00","1672558.00","4","422","7399    ","PUBLIC ORDER CRIMES - OTHER","All Other Crimes","INDUSTRY","","","",""
"2017238907","4/13/2017 12:00:00 AM","4/13/2017 12:00:00 AM","4/13/2017 12:00:00 AM","1810 S BROADWAY ST                                ","3144329.00","1674322.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017243081","4/10/2017 12:00:00 AM","4/14/2017 12:00:00 AM","4/14/2017 12:00:00 AM","1045 N DOWNING ST                                 ","3148142.00","1692250.00","6","623","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"201724741","1/5/2017 12:00:00 AM","1/12/2017 12:00:00 AM","1/12/2017 12:00:00 AM","4125 N ELATI ST                                   ","3142294.00","1706924.00","1","112","2999    ","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","","","",""
"201724830","1/11/2017 12:00:00 AM","1/12/2017 12:00:00 AM","1/12/2017 12:00:00 AM","1770 S ACOMA ST                                   ","3143976.00","1674599.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017248786","4/13/2017 12:00:00 AM","4/17/2017 12:00:00 AM","4/17/2017 12:00:00 AM","1535 N YORK ST                                    ","3151824.00","1695175.00","6","622","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2017251547","4/18/2017 12:00:00 AM","4/18/2017 12:00:00 AM","4/18/2017 12:00:00 AM","4707 N LIPAN ST                                   ","3139981.00","1710191.00","1","112","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017262996","4/22/2017 12:00:00 AM","4/22/2017 12:00:00 AM","4/22/2017 12:00:00 AM","3435 S YOSEMITE ST                                ","3173094.00","1663999.00","3","323","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
